,transaction_id,purchasing_time,customer_id,product_id,price_per_unit,unit,destination_district,destination_province,postal_code
0,trans_1,2022-10-01 00:13,1,han-rhi-04-02,45.0,1,บางกอกน้อย,กรุงเทพมหานคร,10700
1,trans_1,2022-10-01 00:13,1,han-rhi-04-09,45.0,1,บางกอกน้อย,กรุงเทพมหานคร,10700
2,trans_1,2022-10-01 00:13,1,phi-xa-11,250.0,1,บางกอกน้อย,กรุงเทพมหานคร,10700
3,trans_2,2022-10-10 12:44,2,han-rhi-04-04,45.0,1,วัฒนา,กรุงเทพมหานคร,10110
4,trans_2,2022-10-10 12:44,2,han-rhi-04-02,45.0,1,วัฒนา,กรุงเทพมหานคร,10110
5,trans_2,2022-10-10 12:44,2,han-lip-01,50.0,1,วัฒนา,กรุงเทพมหานคร,10110
6,trans_2,2022-10-10 12:44,2,han-hoy-04-06,65.0,1,วัฒนา,กรุงเทพมหานคร,10110
7,trans_2,2022-10-10 12:44,2,han-rhi-04-06,40.0,2,วัฒนา,กรุงเทพมหานคร,10110
8,trans_3,2022-10-01 17:16,3,han-dap-01-01,19.0,3,ประเวศ,กรุงเทพมหานคร,10250
9,trans_3,2022-10-01 17:16,3,han-dap-02-01,19.0,3,ประเวศ,กรุงเทพมหานคร,10250
10,trans_4,2022-10-02 10:29,4,han-hoy-04-03,59.0,1,มีนบุรี,กรุงเทพมหานคร,10510
11,trans_4,2022-10-02 10:29,4,han-hoy-04-01,40.0,1,มีนบุรี,กรุงเทพมหานคร,10510
12,trans_5,2022-10-04 12:34,5,han-dap-01-01,19.0,1,แก่งคอย,สระบุรี,18110
13,trans_5,2022-10-04 12:34,5,han-dap-02-01,19.0,1,แก่งคอย,สระบุรี,18110
14,trans_6,2022-10-05 03:07,6,mmk-06,20.0,2,คำเขื่อนแก้ว,ยโสธร,35110
15,trans_6,2022-10-05 03:07,6,mmk-12,20.0,1,คำเขื่อนแก้ว,ยโสธร,35110
16,trans_6,2022-10-05 03:07,6,mmk-14,20.0,1,คำเขื่อนแก้ว,ยโสธร,35110
17,trans_7,2022-10-10 00:47,7,mmk-10,20.0,1,ราชเทวี,กรุงเทพมหานคร,10400
18,trans_7,2022-10-10 00:47,7,mmk-16,16.0,1,ราชเทวี,กรุงเทพมหานคร,10400
19,trans_7,2022-10-10 00:47,7,mmk-04,16.0,1,ราชเทวี,กรุงเทพมหานคร,10400
20,trans_7,2022-10-10 00:47,7,mmk-06,16.0,1,ราชเทวี,กรุงเทพมหานคร,10400
